Matchup,Projected Score,SU Pick,Win Prob,Model Spread,Market Spread,ATS Pick,ATS Diff,Model Total,Market Total,O/U Pick,Total Diff
NE @ SEA,NE 20.8 - SEA 25.0,SEA,0.617,SEA -4.2,SEA -3.0,SEA -3.0,1.22,45.7,44.5,OVER,1.2
SF @ LA,SF 22.1 - LA 24.5,LA,0.567,LA -2.4,LA -3.5,SF +3.5,1.1,46.6,48.5,UNDER,1.9
ARI @ LAC,ARI 19.6 - LAC 25.9,LAC,0.673,LAC -6.4,LAC -9.5,ARI +9.5,3.15,45.5,47.5,UNDER,2.0
ATL @ PIT,ATL 20.9 - PIT 24.5,PIT,0.601,PIT -3.6,PIT -3.5,PIT -3.5,0.14,45.4,42.5,OVER,2.9
BAL @ IND,BAL 23.8 - IND 23.1,BAL,0.522,BAL -0.8,BAL -3.5,IND +3.5,2.72,46.9,47.5,UNDER,0.6
BUF @ HOU,BUF 23.2 - HOU 22.9,BUF,0.507,BUF -0.2,BUF -1.5,HOU +1.5,1.26,46.1,44.5,OVER,1.6
CHI @ CAR,CHI 24.1 - CAR 21.4,CHI,0.576,CHI -2.7,CHI -3.0,CAR +3.0,0.28,45.4,46.5,UNDER,1.1
CLE @ JAX,CLE 18.7 - JAX 26.4,JAX,0.704,JAX -7.6,JAX -8.5,CLE +8.5,0.87,45.1,40.5,OVER,4.6
DAL @ NYG,DAL 24.0 - NYG 22.7,DAL,0.537,DAL -1.3,DAL -3.0,NYG +3.0,1.69,46.7,48.5,UNDER,1.8
GB @ MIN,GB 22.7 - MIN 22.4,GB,0.508,GB -0.3,MIN -1.5,GB +1.5,1.8,45.2,46.5,UNDER,1.3
MIA @ LV,MIA 23.2 - LV 21.7,MIA,0.542,MIA -1.5,LV -3.0,MIA +3.0,4.49,44.9,40.5,OVER,4.4
NO @ DET,NO 19.4 - DET 26.8,DET,0.697,DET -7.3,DET -7.0,DET -7.0,0.34,46.2,50.5,UNDER,4.3
NYJ @ TEN,NYJ 22.1 - TEN 23.0,TEN,0.527,TEN -0.9,TEN -1.5,NYJ +1.5,0.55,45.1,38.5,OVER,6.6
TB @ CIN,TB 23.2 - CIN 23.6,CIN,0.512,CIN -0.4,CIN -3.5,TB +3.5,3.08,46.7,50.5,UNDER,3.8
WAS @ PHI,WAS 19.9 - PHI 26.1,PHI,0.669,PHI -6.2,PHI -5.5,PHI -5.5,0.72,46.0,44.5,OVER,1.5
DEN @ KC,DEN 22.7 - KC 22.2,DEN,0.514,DEN -0.5,KC -2.5,DEN +2.5,3.0,44.9,43.5,OVER,1.4
