Away,Home,Projected Score,SU Pick,Win Probability,Model Spread,Market Spread,ATS Pick,ATS Difference,Model Total,Market Total,O/U Pick,Total Difference
NE,SEA,NE 20.8 - SEA 25.0,SEA,0.6167433084518811,SEA -4.2,SEA -3.0,SEA -3.0,1.2167612019359435,45.723179519916606,44.5,OVER,1.2231795199166058
SF,LA,SF 22.1 - LA 24.5,LA,0.5669834471849571,LA -2.4,LA -3.5,SF +3.5,1.104336398222867,46.61215485464792,48.5,UNDER,1.887845145352081
ARI,LAC,ARI 19.6 - LAC 25.9,LAC,0.6726761887361296,LAC -6.4,LAC -9.5,ARI +9.5,3.147775653438499,45.54427671002672,47.5,UNDER,1.9557232899732782
ATL,PIT,ATL 20.9 - PIT 24.5,PIT,0.6011143381285808,PIT -3.6,PIT -3.5,PIT -3.5,0.1387024179041476,45.38434916814306,42.5,OVER,2.8843491681430606
BAL,IND,BAL 23.8 - IND 23.1,BAL,0.5218554258657937,BAL -0.8,BAL -3.5,IND +3.5,2.721642771990932,46.880809178666084,47.5,UNDER,0.6191908213339161
BUF,HOU,BUF 23.2 - HOU 22.9,BUF,0.5068221268494433,BUF -0.2,BUF -1.5,HOU +1.5,1.2571471312110862,46.09287288665048,44.5,OVER,1.5928728866504827
CHI,CAR,CHI 24.1 - CAR 21.4,CHI,0.5758869874321462,CHI -2.7,CHI -3.0,CAR +3.0,0.28222003960257647,45.43264870291363,46.5,UNDER,1.0673512970863683
CLE,JAX,CLE 18.7 - JAX 26.4,JAX,0.704396287733554,JAX -7.6,JAX -8.5,CLE +8.5,0.8729411442671537,45.08301595620096,40.5,OVER,4.58301595620096
DAL,NYG,DAL 24.0 - NYG 22.7,DAL,0.5366360179529925,DAL -1.3,DAL -3.0,NYG +3.0,1.6940626564296464,46.65311572346454,48.5,UNDER,1.8468842765354623
GB,MIN,GB 22.7 - MIN 22.4,GB,0.5083640478221103,GB -0.3,MIN -1.5,GB +1.5,1.7977492021804622,45.19703161323816,46.5,UNDER,1.3029683867618402
MIA,LV,MIA 23.2 - LV 21.7,MIA,0.5416857442343448,MIA -1.5,LV -3.0,MIA +3.0,4.486559999141003,44.86127687287007,40.5,OVER,4.3612768728700715
NO,DET,NO 19.4 - DET 26.8,DET,0.6973319698846157,DET -7.3,DET -7.0,DET -7.0,0.338146250115134,46.2118039143058,50.5,UNDER,4.288196085694203
NYJ,TEN,NYJ 22.1 - TEN 23.0,TEN,0.5266659155525084,TEN -0.9,TEN -1.5,NYJ +1.5,0.5500897929302897,45.08167358503332,38.5,OVER,6.581673585033322
TB,CIN,TB 23.2 - CIN 23.6,CIN,0.5118834570297904,CIN -0.4,CIN -3.5,TB +3.5,3.0769328362965833,46.74601676400188,50.5,UNDER,3.7539832359981204
WAS,PHI,WAS 19.9 - PHI 26.1,PHI,0.6692397635543065,PHI -6.2,PHI -5.5,PHI -5.5,0.7173150875967362,45.96402522430142,44.5,OVER,1.4640252243014231
DEN,KC,DEN 22.7 - KC 22.2,DEN,0.5141484655079138,DEN -0.5,KC -2.5,DEN +2.5,3.003735653170811,44.89467786463152,43.5,OVER,1.394677864631518
