Matchup,Projected Score,SU Pick,Win Prob,Model Spread,Market Spread,ATS Pick,ATS Diff,Model Total,Market Total,O/U Pick,Total Diff,Preseason Margin,Weekly Margin,Margin Change
DET @ BUF,DET 23.5 - BUF 26.5,BUF,0.583,BUF -3.0,BUF -5.5,DET +5.5,2.51,50.0,54.5,UNDER,4.5,2.56,2.99,0.42
CAR @ ATL,CAR 21.6 - ATL 24.4,ATL,0.577,ATL -2.7,CAR -2.5,ATL +2.5,5.24,46.0,43.5,OVER,2.5,4.97,2.74,-2.22
CIN @ HOU,CIN 21.6 - HOU 26.1,HOU,0.623,HOU -4.5,HOU -2.5,HOU -2.5,1.96,47.7,45.5,OVER,2.2,5.31,4.46,-0.85
CLE @ TB,CLE 18.5 - TB 26.5,TB,0.716,TB -8.1,TB -8.5,CLE +8.5,0.41,45.0,41.5,OVER,3.5,6.51,8.09,1.58
GB @ NYJ,GB 24.7 - NYJ 20.4,GB,0.62,GB -4.3,GB -3.5,GB -3.5,0.84,45.1,44.5,OVER,0.6,-6.71,-4.34,2.37
IND @ KC,IND 20.5 - KC 25.7,KC,0.643,KC -5.2,KC -6.5,IND +6.5,1.3,46.1,46.5,UNDER,0.4,2.35,5.2,2.85
JAX @ DEN,JAX 22.8 - DEN 22.3,JAX,0.512,JAX -0.4,DEN -2.5,JAX +2.5,2.94,45.1,45.5,UNDER,0.4,3.44,-0.44,-3.88
LV @ LAC,LV 18.4 - LAC 24.6,LAC,0.669,LAC -6.2,LAC -6.5,LV +6.5,0.29,42.9,43.5,UNDER,0.6,8.37,6.21,-2.16
MIA @ SF,MIA 17.6 - SF 27.7,SF,0.761,SF -10.1,SF -12.5,MIA +12.5,2.44,45.3,44.5,OVER,0.8,7.12,10.06,2.95
MIN @ CHI,MIN 21.7 - CHI 26.0,CHI,0.618,CHI -4.3,CHI -4.5,MIN +4.5,0.25,47.7,47.5,OVER,0.2,1.24,4.25,3.01
NO @ BAL,NO 19.7 - BAL 27.2,BAL,0.7,BAL -7.5,BAL -8.5,NO +8.5,1.03,46.8,46.5,OVER,0.3,6.39,7.47,1.07
PHI @ TEN,PHI 26.4 - TEN 17.8,PHI,0.727,PHI -8.6,PHI -7.0,PHI -7.0,1.57,44.1,39.5,OVER,4.6,-7.44,-8.57,-1.14
PIT @ NE,PIT 20.3 - NE 23.3,NE,0.583,NE -3.0,NE -5.5,PIT +5.5,2.54,43.6,41.5,OVER,2.1,3.85,2.96,-0.89
SEA @ ARI,SEA 24.3 - ARI 20.6,SEA,0.603,SEA -3.7,SEA -3.5,SEA -3.5,0.2,44.9,40.5,OVER,4.4,-7.0,-3.7,3.3
WAS @ DAL,WAS 22.5 - DAL 25.5,DAL,0.583,DAL -3.0,DAL -4.5,WAS +4.5,1.54,48.1,50.5,UNDER,2.4,3.38,2.96,-0.42
NYG @ LA,NYG 19.1 - LA 26.6,LA,0.702,LA -7.5,LA -7.0,LA -7.0,0.55,45.7,48.5,UNDER,2.8,10.52,7.55,-2.98
