Matchup,Preseason Margin,Weekly Margin,Margin Change,SU Pick,Win Prob
JAX @ DEN,3.44,-0.28,-3.72,JAX,0.508
IND @ KC,2.35,5.64,3.29,KC,0.654
MIA @ SF,7.12,9.89,2.77,SF,0.757
GB @ NYJ,-6.71,-4.2,2.5,GB,0.616
NYG @ LA,10.52,8.11,-2.41,LA,0.716
LV @ LAC,8.37,6.14,-2.23,LAC,0.667
CLE @ TB,6.51,8.09,1.57,TB,0.715
NO @ BAL,6.39,7.94,1.54,BAL,0.712
SEA @ ARI,-7.0,-5.68,1.33,SEA,0.655
PHI @ TEN,-7.44,-8.58,-1.14,PHI,0.727
CAR @ ATL,4.97,5.9,0.93,ATL,0.661
CIN @ HOU,5.31,4.45,-0.86,HOU,0.623
PIT @ NE,3.85,3.12,-0.74,NE,0.587
MIN @ CHI,1.24,1.82,0.59,CHI,0.551
WAS @ DAL,3.38,2.97,-0.41,DAL,0.583
DET @ BUF,2.56,2.91,0.35,BUF,0.581
