Matchup,Projected Score,SU Pick,Win Prob,Model Spread,Market Spread,ATS Pick,ATS Diff,Model Total,Market Total,O/U Pick,Total Diff,Preseason Margin,Weekly Margin,Margin Change
ATL @ GB,ATL 19.3 - GB 25.3,GB,0.665,GB -6.1,GB -6.0,GB -6.0,0.06,44.6,44.5,OVER,0.1,5.63,6.06,0.43
ARI @ SF,ARI 17.5 - SF 27.8,SF,0.765,SF -10.3,SF -8.5,SF -8.5,1.75,45.3,47.5,UNDER,2.2,7.81,10.25,2.44
BAL @ DAL,BAL 27.0 - DAL 23.8,BAL,0.591,BAL -3.3,BAL -3.0,BAL -3.0,0.27,50.8,52.5,UNDER,1.7,-3.46,-3.27,0.19
CAR @ CLE,CAR 22.4 - CLE 24.2,CLE,0.549,CLE -1.7,CAR -2.5,CLE +2.5,4.24,46.6,42.5,OVER,4.1,2.15,1.74,-0.41
CIN @ PIT,CIN 21.8 - PIT 22.2,PIT,0.512,PIT -0.4,CIN -3.5,PIT +3.5,3.93,44.0,42.5,OVER,1.5,3.05,0.43,-2.62
HOU @ IND,HOU 24.5 - IND 24.7,IND,0.506,IND -0.2,HOU -2.5,IND +2.5,2.72,49.3,43.5,OVER,5.8,-0.51,0.22,0.73
KC @ MIA,KC 25.6 - MIA 20.2,KC,0.648,KC -5.4,KC -11.5,MIA +11.5,6.1,45.7,46.5,UNDER,0.8,-1.98,-5.4,-3.42
LAC @ BUF,LAC 19.7 - BUF 29.6,BUF,0.758,BUF -9.9,BUF -7.0,BUF -7.0,2.92,49.3,50.5,UNDER,1.2,6.21,9.92,3.7
LA @ DEN,LA 21.6 - DEN 21.8,DEN,0.507,DEN -0.3,LA -2.5,DEN +2.5,2.76,43.4,45.5,UNDER,2.1,0.75,0.26,-0.49
LV @ NO,LV 19.2 - NO 24.4,NO,0.643,NO -5.2,NO -3.0,NO -3.0,2.19,43.6,43.5,OVER,0.1,5.9,5.19,-0.71
MIN @ TB,MIN 23.3 - TB 21.7,MIN,0.546,MIN -1.7,MIN -1.5,MIN -1.5,0.16,45.0,42.5,OVER,2.5,1.89,-1.66,-3.55
NE @ JAX,NE 20.4 - JAX 21.3,JAX,0.526,JAX -0.9,JAX -3.0,NE +3.0,2.06,41.7,45.5,UNDER,3.8,1.57,0.94,-0.63
NYJ @ DET,NYJ 19.6 - DET 29.3,DET,0.753,DET -9.7,DET -6.5,DET -6.5,3.21,48.9,48.5,OVER,0.4,12.26,9.71,-2.55
SEA @ WAS,SEA 26.0 - WAS 19.4,SEA,0.677,SEA -6.5,SEA -7.0,WAS +7.0,0.49,45.4,40.5,OVER,4.9,-4.6,-6.51,-1.91
TEN @ NYG,TEN 19.0 - NYG 24.3,NYG,0.646,NYG -5.3,NYG -3.0,NYG -3.0,2.33,43.4,40.5,OVER,2.9,4.87,5.33,0.45
PHI @ CHI,PHI 23.3 - CHI 24.0,CHI,0.521,CHI -0.7,PHI -3.5,CHI +3.5,4.23,47.2,43.5,OVER,3.7,-0.74,0.73,1.47
